,safetyId,raceId,grand_prix,cause,deployed_lap,called_in_lap,number_full_laps,year
173,174,340,Chinese Grand Prix,Accident,1,4,2,2010
174,175,342,Monaco Grand Prix,Accident,1,7,5,2010
175,176,340,Chinese Grand Prix,Debris from accident,22,26,3,2010
176,177,338,Australian Grand Prix,Accident,2,5,2,2010
177,178,349,Belgian Grand Prix,Accident,2,4,1,2010
178,179,348,Hungarian Grand Prix,Debris from car,15,18,2,2010
179,180,353,Korean Grand Prix,Rain,4 (Race resumed behind SC),18,14,2010
180,181,349,Belgian Grand Prix,Accident,38,41,2,2010
181,182,351,Singapore Grand Prix,Accident,3,6,2,2010
182,183,351,Singapore Grand Prix,Accident,31,36,4,2010
183,184,352,Japanese Grand Prix,Accident,1,7,5,2010
184,185,353,Korean Grand Prix,Rain,1 (Race started behind SC),4 (After red flag),3,2010
185,186,353,Korean Grand Prix,Accident,19,24,4,2010
186,187,353,Korean Grand Prix,Accident,31,35,3,2010
187,188,354,Brazilian Grand Prix,Accident,51,56,4,2010
188,189,355,Abu Dhabi Grand Prix,Accident,1,6,4,2010
189,190,5,Spanish Grand Prix,Accident,1,5,3,2009
190,191,1,Australian Grand Prix,Accident,19,24,4,2009
191,192,1,Australian Grand Prix,Accident,55,NA (Race finished behind SC),3,2009
192,193,2,Malaysian Grand Prix,Rain,31,NA (Red flag),1,2009
193,194,3,Chinese Grand Prix,Rain,1 (Race started behind SC),8,7,2009
194,195,3,Chinese Grand Prix,Debris from accident,18,22,3,2009
195,196,16,Brazilian Grand Prix,Accident,1,6,5,2009
196,197,12,Belgian Grand Prix,Accident,1,5,3,2009
197,198,14,Singapore Grand Prix,Accident,21,27,5,2009
198,199,15,Japanese Grand Prix,Accident,1,7,5,2009
199,200,13,Italian Grand Prix,Accident,53,NA (Race finished behind SC),1,2009
200,201,23,Monaco Grand Prix,Accident,62,67,4,2008
201,202,18,Australian Grand Prix,Accident,1,3,1,2008
202,203,18,Australian Grand Prix,Accident,26,30,3,2008
203,204,18,Australian Grand Prix,Accident,44,47,2,2008
204,205,21,Spanish Grand Prix,Accident,1,4,2,2008
205,206,22,Turkish Grand Prix,Accident,1,3,1,2008
206,207,23,Monaco Grand Prix,Accident,8,11,2,2008
207,208,21,Spanish Grand Prix,Accident,22,29,6,2008
208,209,24,Canadian Grand Prix,Stranded car,16,22,5,2008
209,210,31,Italian Grand Prix,Rain,1 (Race started behind SC),3,2,2008
210,211,32,Singapore Grand Prix,Accident,14,20,5,2008
211,212,32,Singapore Grand Prix,Accident,46,53,6,2008
212,213,35,Brazilian Grand Prix,Accident,1,4,2,2008
213,214,27,German Grand Prix,Accident,36,42,5,2008
214,215,41,Canadian Grand Prix,Accident,55,60,4,2007
215,216,38,Bahrain Grand Prix,Accident,1,4,2,2007
216,217,41,Canadian Grand Prix,Accident,22,26,3,2007
217,218,41,Canadian Grand Prix,Accident,26,34,7,2007
218,219,41,Canadian Grand Prix,Debris from accident,50,54,3,2007
219,220,50,Japanese Grand Prix,Rain,1 (Race started behind SC),20,19,2007
220,221,45,European Grand Prix,Accidents,3,7 (After red flag),3,2007
221,222,48,Italian Grand Prix,Accident,1,7,5,2007
222,223,50,Japanese Grand Prix,Accident,41,48,6,2007
223,224,55,Australian Grand Prix,Accident,36,40,3,2006
224,225,55,Australian Grand Prix,Accident,32,35,2,2006
225,226,65,Hungarian Grand Prix,Accident,26,31,4,2006
226,227,55,Australian Grand Prix,Accident,8,10,1,2006
227,228,55,Australian Grand Prix,Accident,1,3,1,2006
228,229,59,Monaco Grand Prix,Stranded car,47,49,1,2006
229,230,56,San Marino Grand Prix,Accident,1,3,1,2006
230,231,66,Turkish Grand Prix,Stranded car,13,16,2,2006
231,232,60,British Grand Prix,Accident,2,4,1,2006
232,233,61,Canadian Grand Prix,Accident,61,64,2,2006
233,234,62,United States Grand Prix,Two accidents,1,7,5,2006
234,235,61,Canadian Grand Prix,Accident,2,4,1,2006
235,236,70,Brazilian Grand Prix,Accident,2,6,3,2006
236,237,89,Chinese Grand Prix,Accident,29,35,5,2005
237,238,89,Chinese Grand Prix,Loose drain cover,19,25,5,2005
238,239,88,Japanese Grand Prix,Accident,1,8,6,2005
239,240,86,Belgian Grand Prix,Accident,11,14,2,2005
240,241,81,British Grand Prix,Accident,1,3,1,2005
241,242,78,Canadian Grand Prix,Accident,46,52,5,2005
242,243,76,Monaco Grand Prix,Stranded car,25,29,3,2005
243,244,98,United States Grand Prix,Accident,11,20,8,2004
244,245,95,Monaco Grand Prix,Accident,3,8,4,2004
245,246,95,Monaco Grand Prix,Accident,32,37,4,2004
246,247,98,United States Grand Prix,Accident,1,6,4,2004
247,248,103,Belgian Grand Prix,Accident,1,5,3,2004
248,249,103,Belgian Grand Prix,Accident,31,34,2,2004
249,250,103,Belgian Grand Prix,Debris from accident,38,42,3,2004
250,251,118,British Grand Prix,Man on track,12,15,2,2003
251,252,118,British Grand Prix,Debris from car,5,7,1,2003
252,253,113,Austrian Grand Prix,Stranded car,1,5,3,2003
253,254,110,Brazilian Grand Prix,Two accidents,54,NA (Red flag),2,2003
254,255,110,Brazilian Grand Prix,Accident,33,37,3,2003
255,256,110,Brazilian Grand Prix,Three accidents,27,30,2,2003
256,257,110,Brazilian Grand Prix,Accident,18,24,5,2003
257,258,110,Brazilian Grand Prix,Rain,1 (Race started behind SC),9,8,2003
258,259,108,Australian Grand Prix,Stranded car,16,20,3,2003
259,260,108,Australian Grand Prix,Two accidents,8,11,2,2003
260,261,129,Austrian Grand Prix,Stranded car,24,28,3,2002
261,262,124,Australian Grand Prix,Accident,9,12,2,2002
262,263,124,Australian Grand Prix,Accident,1,6,4,2002
263,264,129,Austrian Grand Prix,Accident,28,37,8,2002
264,265,131,Canadian Grand Prix,Stranded car,14,17,2,2002
265,266,148,Canadian Grand Prix,Accident,21,24,2,2001
266,267,146,Austrian Grand Prix,Four stranded cars,1,4,2,2001
267,268,143,Brazilian Grand Prix,Stranded car,1,3,1,2001
268,269,142,Malaysian Grand Prix,Rain,4,11,6,2001
269,270,141,Australian Grand Prix,Accident,5,15,9,2001
270,271,154,Belgian Grand Prix,Accident,6,7 (After red flag),1,2001
271,272,171,Italian Grand Prix,Multiple accidents,1,12,11,2000
272,273,168,German Grand Prix,Man on track,25,29,3,2000
273,274,158,Australian Grand Prix,Accident,7,11,3,2000
274,275,167,Austrian Grand Prix,Accident,1,3,1,2000
275,276,174,Malaysian Grand Prix,Accident,1,3,1,2000
276,277,168,German Grand Prix,Accident,30,32,1,2000
277,278,170,Belgian Grand Prix,Rain,1 (Race started behind SC),2,1,2000
278,279,180,Canadian Grand Prix,Accident,3,8,4,1999
279,280,175,Australian Grand Prix,Accident,20,25,4,1999
280,281,180,Canadian Grand Prix,Accident,1,3,1,1999
281,282,175,Australian Grand Prix,Accident,15,17,1,1999
282,283,180,Canadian Grand Prix,Accident,66,NA (Race finished behind SC),3,1999
283,284,180,Canadian Grand Prix,Accident,35,41,5,1999
284,285,181,French Grand Prix,Stranded car/Rain,25,36,10,1999
285,286,188,European Grand Prix,Accident,1,6,4,1999
286,287,203,Belgian Grand Prix,Accident,28,33,4,1998
287,288,200,Austrian Grand Prix,Two accidents,1,4,2,1998
288,289,199,British Grand Prix,Rain,42,49,6,1998
289,290,197,Canadian Grand Prix,Accident,20,22,1,1998
290,291,197,Canadian Grand Prix,Debris,15,18,2,1998
291,292,197,Canadian Grand Prix,Accident,1,6,4,1998
292,293,218,Belgian Grand Prix,Rain,1 (Race started behind SC),4,3,1997
293,294,209,Argentine Grand Prix,Accident,1,6,4,1997
294,295,236,Belgian Grand Prix,Accident,13,18,4,1996
295,296,226,Argentine Grand Prix,Accident,28,33,4,1996
296,297,250,Belgian Grand Prix,Rain,28,33,4,1995
297,298,259,San Marino Grand Prix,Accident,1,6,4,1994
298,299,281,British Grand Prix,Stranded car,38,40,1,1993
299,300,274,Brazilian Grand Prix,Accident/Rain,29,38,8,1993
300,301,618,Canadian Grand Prix,Accident,33,39,5,1973
