Driver,Nationality,Team,Points,driverRef,Year
Daniel Ricciardo,AUS,RENAULT,6.0,ricciardo,2019
Carlos Sainz,ESP,MCLAREN RENAULT,6.0,sainz,2019
Nico Hulkenberg,GER,RENAULT,6.0,hulkenberg,2019
Lance Stroll,CAN,RACING POINT BWT MERCEDES,4.0,stroll,2019
Alexander Albon,THA,RED BULL RACING HONDA,3.0,albon,2019
Daniil Kvyat,RUS,SCUDERIA TORO ROSSO HONDA,1.0,kvyat,2019
Antonio Giovinazzi,ITA,ALFA ROMEO RACING FERRARI,0.0,giovinazzi,2019
Romain Grosjean,FRA,HAAS FERRARI,0.0,grosjean,2019
Robert Kubica,POL,WILLIAMS MERCEDES,0.0,kubica,2019
George Russell,GBR,WILLIAMS MERCEDES,0.0,russell,2019
Lewis Hamilton,GBR,MERCEDES,70.0,hamilton,2018
Sebastian Vettel,GER,FERRARI,66.0,vettel,2018
Kimi Räikkönen,FIN,FERRARI,48.0,raikkonen,2018
Valtteri Bottas,FIN,MERCEDES,40.0,bottas,2018
Daniel Ricciardo,AUS,RED BULL RACING TAG HEUER,37.0,ricciardo,2018
Nico Hulkenberg,GER,RENAULT,22.0,hulkenberg,2018
Fernando Alonso,ESP,MCLAREN RENAULT,18.0,alonso,2018
Max Verstappen,NED,RED BULL RACING TAG HEUER,18.0,max_verstappen,2018
Sergio Perez,MEX,FORCE INDIA MERCEDES,15.0,perez,2018
Carlos Sainz,ESP,RENAULT,13.0,sainz,2018
Pierre Gasly,FRA,SCUDERIA TORO ROSSO HONDA,12.0,gasly,2018
Kevin Magnussen,DEN,HAAS FERRARI,11.0,kevin_magnussen,2018
Charles Leclerc,MON,SAUBER FERRARI,8.0,leclerc,2018
Stoffel Vandoorne,BEL,MCLAREN RENAULT,8.0,vandoorne,2018
Lance Stroll,CAN,WILLIAMS MERCEDES,4.0,stroll,2018
Marcus Ericsson,SWE,SAUBER FERRARI,2.0,ericsson,2018
Esteban Ocon,FRA,FORCE INDIA MERCEDES,1.0,ocon,2018
Brendon Hartley,NZL,SCUDERIA TORO ROSSO HONDA,1.0,brendon_hartley,2018
Romain Grosjean,FRA,HAAS FERRARI,0.0,grosjean,2018
Sergey Sirotkin,RUS,WILLIAMS MERCEDES,0.0,sirotkin,2018
Sebastian Vettel,GER,FERRARI,86.0,vettel,2017
Lewis Hamilton,GBR,MERCEDES,73.0,hamilton,2017
Valtteri Bottas,FIN,MERCEDES,63.0,bottas,2017
Kimi Räikkönen,FIN,FERRARI,49.0,raikkonen,2017
Max Verstappen,NED,RED BULL RACING TAG HEUER,35.0,max_verstappen,2017
Daniel Ricciardo,AUS,RED BULL RACING TAG HEUER,22.0,ricciardo,2017
Sergio Perez,MEX,FORCE INDIA MERCEDES,22.0,perez,2017
Felipe Massa,BRA,WILLIAMS MERCEDES,18.0,massa,2017
Carlos Sainz,ESP,RENAULT,11.0,sainz,2017
Esteban Ocon,FRA,FORCE INDIA MERCEDES,9.0,ocon,2017
Nico Hulkenberg,GER,RENAULT,6.0,hulkenberg,2017
Romain Grosjean,FRA,HAAS FERRARI,4.0,grosjean,2017
Kevin Magnussen,DEN,HAAS FERRARI,4.0,kevin_magnussen,2017
Daniil Kvyat,RUS,TORO ROSSO,2.0,kvyat,2017
Antonio Giovinazzi,ITA,SAUBER FERRARI,0.0,giovinazzi,2017
Pierre Gasly,FRA,TORO ROSSO,0.0,gasly,2017
Marcus Ericsson,SWE,SAUBER FERRARI,0.0,ericsson,2017
Lance Stroll,CAN,WILLIAMS MERCEDES,0.0,stroll,2017
Pascal Wehrlein,GER,SAUBER FERRARI,0.0,wehrlein,2017
Jolyon Palmer,GBR,RENAULT,0.0,jolyon_palmer,2017
Stoffel Vandoorne,BEL,MCLAREN HONDA,0.0,vandoorne,2017
Fernando Alonso,ESP,MCLAREN HONDA,0.0,alonso,2017
Brendon Hartley,NZL,TORO ROSSO,0.0,brendon_hartley,2017
Nico Rosberg,GER,MERCEDES,100.0,rosberg,2016
Lewis Hamilton,GBR,MERCEDES,57.0,hamilton,2016
Kimi Räikkönen,FIN,FERRARI,43.0,raikkonen,2016
Daniel Ricciardo,AUS,RED BULL RACING TAG HEUER,36.0,ricciardo,2016
Sebastian Vettel,GER,FERRARI,33.0,vettel,2016
Felipe Massa,BRA,WILLIAMS MERCEDES,32.0,massa,2016
Romain Grosjean,FRA,HAAS FERRARI,22.0,grosjean,2016
Daniil Kvyat,RUS,TORO ROSSO FERRARI,21.0,kvyat,2016
Valtteri Bottas,FIN,WILLIAMS MERCEDES,19.0,bottas,2016
Max Verstappen,NED,RED BULL RACING TAG HEUER,13.0,max_verstappen,2016
Fernando Alonso,ESP,MCLAREN HONDA,8.0,alonso,2016
Nico Hulkenberg,GER,FORCE INDIA MERCEDES,6.0,hulkenberg,2016
Kevin Magnussen,DEN,RENAULT,6.0,kevin_magnussen,2016
Carlos Sainz,ESP,TORO ROSSO FERRARI,4.0,sainz,2016
Sergio Perez,MEX,FORCE INDIA MERCEDES,2.0,perez,2016
Jenson Button,GBR,MCLAREN HONDA,1.0,button,2016
Stoffel Vandoorne,BEL,MCLAREN HONDA,1.0,vandoorne,2016
Felipe Nasr,BRA,SAUBER FERRARI,0.0,nasr,2016
Jolyon Palmer,GBR,RENAULT,0.0,jolyon_palmer,2016
Pascal Wehrlein,GER,MRT MERCEDES,0.0,wehrlein,2016
