Team,Points,constructorRef,Year
BRAWN MERCEDES,50.0,brawn,2009
RBR RENAULT,27.5,red_bull,2009
TOYOTA,26.5,toyota,2009
MCLAREN MERCEDES,13.0,mclaren,2009
RENAULT,5.0,renault,2009
SAUBER BMW,4.0,bmw_sauber,2009
STR FERRARI,4.0,toro_rosso,2009
WILLIAMS TOYOTA,3.5,williams,2009
FERRARI,3.0,ferrari,2009
FORCE INDIA MERCEDES,0.0,force_india,2009
SAUBER BMW,30.0,bmw_sauber,2008
FERRARI,29.0,ferrari,2008
MCLAREN MERCEDES,28.0,mclaren,2008
WILLIAMS TOYOTA,10.0,williams,2008
TOYOTA,8.0,toyota,2008
RENAULT,6.0,renault,2008
RED BULL RENAULT,4.0,red_bull,2008
STR FERRARI,2.0,toro_rosso,2008
HONDA,0.0,honda,2008
FORCE INDIA FERRARI,0.0,force_india,2008
SUPER AGURI HONDA,0.0,super_aguri,2008
FERRARI,39.0,ferrari,2007
SAUBER BMW,18.0,bmw_sauber,2007
RENAULT,9.0,renault,2007
TOYOTA,5.0,toyota,2007
WILLIAMS TOYOTA,2.0,williams,2007
RED BULL RENAULT,0.0,red_bull,2007
STR FERRARI,0.0,toro_rosso,2007
HONDA,0.0,honda,2007
SUPER AGURI HONDA,0.0,super_aguri,2007
SPYKER FERRARI,0.0,spyker,2007
MCLAREN MERCEDES,0.0,mclaren,2007
RENAULT,62.0,renault,2006
FERRARI,46.0,ferrari,2006
MCLAREN MERCEDES,38.0,mclaren,2006
HONDA,19.0,honda,2006
SAUBER BMW,11.0,bmw_sauber,2006
WILLIAMS COSWORTH,10.0,williams,2006
TOYOTA,7.0,toyota,2006
RBR FERRARI,2.0,red_bull,2006
STR COSWORTH,0.0,toro_rosso,2006
MF1 TOYOTA,0.0,mf1,2006
SUPER AGURI HONDA,0.0,super_aguri,2006
RENAULT,46.0,renault,2005
TOYOTA,29.0,toyota,2005
MCLAREN MERCEDES,25.0,mclaren,2005
FERRARI,18.0,ferrari,2005
WILLIAMS BMW,18.0,williams,2005
RBR COSWORTH,13.0,red_bull,2005
SAUBER PETRONAS,7.0,sauber,2005
BAR HONDA,0.0,bar,2005
JORDAN TOYOTA,0.0,jordan,2005
MINARDI COSWORTH,0.0,minardi,2005
FERRARI,43.0,ferrari,2004
MCLAREN MERCEDES,26.0,mclaren,2004
WILLIAMS BMW,12.0,williams,2004
BENETTON PLAYLIFE,8.0,benetton,2004
JORDAN MUGEN HONDA,8.0,jordan,2004
BAR HONDA,6.0,bar,2004
SAUBER PETRONAS,1.0,sauber,2004
ARROWS SUPERTEC,0.0,arrows,2004
JAGUAR COSWORTH,0.0,jaguar,2004
MCLAREN MERCEDES,41.0,mclaren,2003
FERRARI,32.0,ferrari,2003
RENAULT,26.0,renault,2003
WILLIAMS BMW,23.0,williams,2003
JORDAN FORD,10.0,jordan,2003
SAUBER PETRONAS,8.0,sauber,2003
BAR HONDA,6.0,bar,2003
JAGUAR COSWORTH,0.0,jaguar,2003
TOYOTA,0.0,toyota,2003
MINARDI COSWORTH,0.0,minardi,2003
FERRARI,40.0,ferrari,2002
WILLIAMS BMW,37.0,williams,2002
MCLAREN MERCEDES,9.0,mclaren,2002
RENAULT,8.0,renault,2002
SAUBER PETRONAS,3.0,sauber,2002
JAGUAR COSWORTH,3.0,jaguar,2002
MINARDI ASIATECH,2.0,minardi,2002
TOYOTA,2.0,toyota,2002
JORDAN HONDA,0.0,jordan,2002
BAR HONDA,0.0,bar,2002
ARROWS COSWORTH,0.0,arrows,2002
FERRARI,43.0,ferrari,2001
MCLAREN MERCEDES,26.0,mclaren,2001
WILLIAMS BMW,12.0,williams,2001
BENETTON PLAYLIFE,8.0,benetton,2001
JORDAN MUGEN HONDA,8.0,jordan,2001
BAR HONDA,6.0,bar,2001
SAUBER PETRONAS,1.0,sauber,2001
ARROWS SUPERTEC,0.0,arrows,2001
JAGUAR COSWORTH,0.0,jaguar,2001
FERRARI,43.0,ferrari,2000
MCLAREN MERCEDES,26.0,mclaren,2000
WILLIAMS BMW,12.0,williams,2000
BENETTON PLAYLIFE,8.0,benetton,2000
