Team,Points,Year
WILLIAMS TOYOTA,2.0,2007
RED BULL RENAULT,0.0,2007
STR FERRARI,0.0,2007
HONDA,0.0,2007
SUPER AGURI HONDA,0.0,2007
SPYKER FERRARI,0.0,2007
MCLAREN MERCEDES,0.0,2007
RENAULT,62.0,2006
FERRARI,46.0,2006
MCLAREN MERCEDES,38.0,2006
HONDA,19.0,2006
SAUBER BMW,11.0,2006
WILLIAMS COSWORTH,10.0,2006
TOYOTA,7.0,2006
RBR FERRARI,2.0,2006
STR COSWORTH,0.0,2006
MF1 TOYOTA,0.0,2006
SUPER AGURI HONDA,0.0,2006
RENAULT,46.0,2005
TOYOTA,29.0,2005
MCLAREN MERCEDES,25.0,2005
FERRARI,18.0,2005
WILLIAMS BMW,18.0,2005
RBR COSWORTH,13.0,2005
SAUBER PETRONAS,7.0,2005
BAR HONDA,0.0,2005
JORDAN TOYOTA,0.0,2005
MINARDI COSWORTH,0.0,2005
FERRARI,43.0,2004
MCLAREN MERCEDES,26.0,2004
WILLIAMS BMW,12.0,2004
BENETTON PLAYLIFE,8.0,2004
JORDAN MUGEN HONDA,8.0,2004
BAR HONDA,6.0,2004
SAUBER PETRONAS,1.0,2004
ARROWS SUPERTEC,0.0,2004
JAGUAR COSWORTH,0.0,2004
MCLAREN MERCEDES,41.0,2003
FERRARI,32.0,2003
RENAULT,26.0,2003
WILLIAMS BMW,23.0,2003
JORDAN FORD,10.0,2003
SAUBER PETRONAS,8.0,2003
BAR HONDA,6.0,2003
JAGUAR COSWORTH,0.0,2003
TOYOTA,0.0,2003
MINARDI COSWORTH,0.0,2003
FERRARI,40.0,2002
WILLIAMS BMW,37.0,2002
MCLAREN MERCEDES,9.0,2002
RENAULT,8.0,2002
SAUBER PETRONAS,3.0,2002
JAGUAR COSWORTH,3.0,2002
MINARDI ASIATECH,2.0,2002
TOYOTA,2.0,2002
JORDAN HONDA,0.0,2002
BAR HONDA,0.0,2002
ARROWS COSWORTH,0.0,2002
FERRARI,43.0,2001
MCLAREN MERCEDES,26.0,2001
WILLIAMS BMW,12.0,2001
BENETTON PLAYLIFE,8.0,2001
JORDAN MUGEN HONDA,8.0,2001
BAR HONDA,6.0,2001
SAUBER PETRONAS,1.0,2001
ARROWS SUPERTEC,0.0,2001
JAGUAR COSWORTH,0.0,2001
FERRARI,43.0,2000
MCLAREN MERCEDES,26.0,2000
WILLIAMS BMW,12.0,2000
BENETTON PLAYLIFE,8.0,2000
JORDAN MUGEN HONDA,8.0,2000
BAR HONDA,6.0,2000
SAUBER PETRONAS,1.0,2000
ARROWS SUPERTEC,0.0,2000
JAGUAR COSWORTH,0.0,2000
FERRARI,44.0,1999
MCLAREN MERCEDES,20.0,1999
JORDAN MUGEN HONDA,16.0,1999
BENETTON PLAYLIFE,8.0,1999
WILLIAMS SUPERTEC,7.0,1999
STEWART FORD,6.0,1999
PROST PEUGEOT,1.0,1999
SAUBER PETRONAS,1.0,1999
ARROWS,1.0,1999
MINARDI FORD,0.0,1999
MCLAREN MERCEDES,49.0,1998
FERRARI,31.0,1998
WILLIAMS MECACHROME,13.0,1998
BENETTON PLAYLIFE,7.0,1998
SAUBER PETRONAS,4.0,1998
JORDAN MUGEN HONDA,0.0,1998
ARROWS,0.0,1998
STEWART FORD,0.0,1998
PROST PEUGEOT,0.0,1998
FERRARI,38.0,1997
WILLIAMS RENAULT,30.0,1997
MCLAREN MERCEDES,20.0,1997
BENETTON RENAULT,13.0,1997
PROST MUGEN HONDA,9.0,1997
JORDAN PEUGEOT,8.0,1997
STEWART FORD,6.0,1997
SAUBER PETRONAS,4.0,1997
TYRRELL FORD,2.0,1997
ARROWS YAMAHA,0.0,1997
WILLIAMS RENAULT,65.0,1996
FERRARI,25.0,1996
BENETTON RENAULT,22.0,1996
MCLAREN MERCEDES,16.0,1996
LIGIER MUGEN HONDA,11.0,1996
JORDAN PEUGEOT,8.0,1996
SAUBER FORD,7.0,1996
TYRRELL YAMAHA,5.0,1996
FOOTWORK HART,1.0,1996
WILLIAMS RENAULT,23.0,1995
FERRARI,23.0,1995
BENETTON RENAULT,7.0,1995
MCLAREN MERCEDES,6.0,1995
SAUBER FORD,3.0,1995
LIGIER MUGEN HONDA,0.0,1995
JORDAN PEUGEOT,0.0,1995
FOOTWORK HART,0.0,1995
TYRRELL YAMAHA,0.0,1995
MINARDI FORD,0.0,1995
BENETTON FORD,40.0,1994
FERRARI,22.0,1994
MCLAREN PEUGEOT,10.0,1994
JORDAN HART,10.0,1994
WILLIAMS RENAULT,7.0,1994
SAUBER MERCEDES,6.0,1994
TYRRELL YAMAHA,4.0,1994
FOOTWORK FORD,3.0,1994
MINARDI FORD,1.0,1994
LARROUSSE FORD,1.0,1994
LIGIER RENAULT,0.0,1994
WILLIAMS RENAULT,36.0,1993
MCLAREN FORD,26.0,1993
BENETTON FORD,12.0,1993
LIGIER RENAULT,10.0,1993
LOTUS FORD,7.0,1993
SAUBER,5.0,1993
MINARDI FORD,5.0,1993
LARROUSSE LAMBORGHINI,2.0,1993
FERRARI,1.0,1993
FOOTWORK MUGEN HONDA,0.0,1993
JORDAN HART,0.0,1993
