,year,round,race,date,circuit,location
281,1993,10,German Grand Prix,1993-07-25,Hockenheimring,"Hockenheim, Germany"
282,1993,11,Hungarian Grand Prix,1993-08-15,Hungaroring,"Budapest, Hungary"
283,1993,12,Belgian Grand Prix,1993-08-29,Circuit de Spa-Francorchamps,"Spa, Belgium"
284,1993,13,Italian Grand Prix,1993-09-12,Autodromo Nazionale di Monza,"Monza, Italy"
285,1993,14,Portuguese Grand Prix,1993-09-26,Autódromo do Estoril,"Estoril, Portugal"
286,1993,15,Japanese Grand Prix,1993-10-24,Suzuka Circuit,"Suzuka, Japan"
287,1993,16,Australian Grand Prix,1993-11-07,Adelaide Street Circuit,"Adelaide, Australia"
288,1992,1,South African Grand Prix,1992-03-01,Kyalami,"Midrand, South Africa"
289,1992,2,Mexican Grand Prix,1992-03-22,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
290,1992,3,Brazilian Grand Prix,1992-04-05,Autódromo José Carlos Pace,"São Paulo, Brazil"
291,1992,4,Spanish Grand Prix,1992-05-03,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
292,1992,5,San Marino Grand Prix,1992-05-17,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
293,1992,6,Monaco Grand Prix,1992-05-31,Circuit de Monaco,"Monte-Carlo, Monaco"
294,1992,7,Canadian Grand Prix,1992-06-14,Circuit Gilles Villeneuve,"Montreal, Canada"
295,1992,8,French Grand Prix,1992-07-05,Circuit de Nevers Magny-Cours,"Magny Cours, France"
296,1992,9,British Grand Prix,1992-07-12,Silverstone Circuit,"Silverstone, UK"
297,1992,10,German Grand Prix,1992-07-26,Hockenheimring,"Hockenheim, Germany"
298,1992,11,Hungarian Grand Prix,1992-08-16,Hungaroring,"Budapest, Hungary"
299,1992,12,Belgian Grand Prix,1992-08-30,Circuit de Spa-Francorchamps,"Spa, Belgium"
300,1992,13,Italian Grand Prix,1992-09-13,Autodromo Nazionale di Monza,"Monza, Italy"
301,1992,14,Portuguese Grand Prix,1992-09-27,Autódromo do Estoril,"Estoril, Portugal"
302,1992,15,Japanese Grand Prix,1992-10-25,Suzuka Circuit,"Suzuka, Japan"
303,1992,16,Australian Grand Prix,1992-11-08,Adelaide Street Circuit,"Adelaide, Australia"
304,1991,1,United States Grand Prix,1991-03-10,Phoenix street circuit,"Phoenix, USA"
305,1991,2,Brazilian Grand Prix,1991-03-24,Autódromo José Carlos Pace,"São Paulo, Brazil"
306,1991,3,San Marino Grand Prix,1991-04-28,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
307,1991,4,Monaco Grand Prix,1991-05-12,Circuit de Monaco,"Monte-Carlo, Monaco"
308,1991,5,Canadian Grand Prix,1991-06-02,Circuit Gilles Villeneuve,"Montreal, Canada"
309,1991,6,Mexican Grand Prix,1991-06-16,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
310,1991,7,French Grand Prix,1991-07-07,Circuit de Nevers Magny-Cours,"Magny Cours, France"
311,1991,8,British Grand Prix,1991-07-14,Silverstone Circuit,"Silverstone, UK"
312,1991,9,German Grand Prix,1991-07-28,Hockenheimring,"Hockenheim, Germany"
313,1991,10,Hungarian Grand Prix,1991-08-11,Hungaroring,"Budapest, Hungary"
314,1991,11,Belgian Grand Prix,1991-08-25,Circuit de Spa-Francorchamps,"Spa, Belgium"
315,1991,12,Italian Grand Prix,1991-09-08,Autodromo Nazionale di Monza,"Monza, Italy"
316,1991,13,Portuguese Grand Prix,1991-09-22,Autódromo do Estoril,"Estoril, Portugal"
317,1991,14,Spanish Grand Prix,1991-09-29,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
318,1991,15,Japanese Grand Prix,1991-10-20,Suzuka Circuit,"Suzuka, Japan"
319,1991,16,Australian Grand Prix,1991-11-03,Adelaide Street Circuit,"Adelaide, Australia"
320,1990,1,United States Grand Prix,1990-03-11,Phoenix street circuit,"Phoenix, USA"
321,1990,2,Brazilian Grand Prix,1990-03-25,Autódromo José Carlos Pace,"São Paulo, Brazil"
322,1990,3,San Marino Grand Prix,1990-05-13,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
323,1990,4,Monaco Grand Prix,1990-05-27,Circuit de Monaco,"Monte-Carlo, Monaco"
324,1990,5,Canadian Grand Prix,1990-06-10,Circuit Gilles Villeneuve,"Montreal, Canada"
325,1990,6,Mexican Grand Prix,1990-06-24,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
326,1990,7,French Grand Prix,1990-07-08,Circuit Paul Ricard,"Le Castellet, France"
327,1990,8,British Grand Prix,1990-07-15,Silverstone Circuit,"Silverstone, UK"
328,1990,9,German Grand Prix,1990-07-29,Hockenheimring,"Hockenheim, Germany"
329,1990,10,Hungarian Grand Prix,1990-08-12,Hungaroring,"Budapest, Hungary"
330,1990,11,Belgian Grand Prix,1990-08-26,Circuit de Spa-Francorchamps,"Spa, Belgium"
331,1990,12,Italian Grand Prix,1990-09-09,Autodromo Nazionale di Monza,"Monza, Italy"
332,1990,13,Portuguese Grand Prix,1990-09-23,Autódromo do Estoril,"Estoril, Portugal"
333,1990,14,Spanish Grand Prix,1990-09-30,Circuito de Jerez,"Jerez de la Frontera, Spain"
334,1990,15,Japanese Grand Prix,1990-10-21,Suzuka Circuit,"Suzuka, Japan"
335,1990,16,Australian Grand Prix,1990-11-04,Adelaide Street Circuit,"Adelaide, Australia"
336,2010,1,Bahrain Grand Prix,2010-03-14,Bahrain International Circuit,"Sakhir, Bahrain"
337,2010,2,Australian Grand Prix,2010-03-28,Albert Park Grand Prix Circuit,"Melbourne, Australia"
338,2010,3,Malaysian Grand Prix,2010-04-04,Sepang International Circuit,"Kuala Lumpur, Malaysia"
339,2010,4,Chinese Grand Prix,2010-04-18,Shanghai International Circuit,"Shanghai, China"
340,2010,5,Spanish Grand Prix,2010-05-09,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
341,2010,6,Monaco Grand Prix,2010-05-16,Circuit de Monaco,"Monte-Carlo, Monaco"
342,2010,7,Turkish Grand Prix,2010-05-30,Istanbul Park,"Istanbul, Turkey"
343,2010,8,Canadian Grand Prix,2010-06-13,Circuit Gilles Villeneuve,"Montreal, Canada"
344,2010,9,European Grand Prix,2010-06-27,Valencia Street Circuit,"Valencia, Spain"
345,2010,10,British Grand Prix,2010-07-11,Silverstone Circuit,"Silverstone, UK"
346,2010,11,German Grand Prix,2010-07-25,Hockenheimring,"Hockenheim, Germany"
347,2010,12,Hungarian Grand Prix,2010-08-01,Hungaroring,"Budapest, Hungary"
348,2010,13,Belgian Grand Prix,2010-08-29,Circuit de Spa-Francorchamps,"Spa, Belgium"
349,2010,14,Italian Grand Prix,2010-09-12,Autodromo Nazionale di Monza,"Monza, Italy"
350,2010,15,Singapore Grand Prix,2010-09-26,Marina Bay Street Circuit,"Marina Bay, Singapore"
351,2010,16,Japanese Grand Prix,2010-10-10,Suzuka Circuit,"Suzuka, Japan"
352,2010,17,Korean Grand Prix,2010-10-24,Korean International Circuit,"Yeongam County, Korea"
353,2010,18,Brazilian Grand Prix,2010-11-07,Autódromo José Carlos Pace,"São Paulo, Brazil"
354,2010,19,Abu Dhabi Grand Prix,2010-11-14,Yas Marina Circuit,"Abu Dhabi, UAE"
355,1989,1,Brazilian Grand Prix,1989-03-26,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
356,1989,2,San Marino Grand Prix,1989-04-23,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
357,1989,3,Monaco Grand Prix,1989-05-07,Circuit de Monaco,"Monte-Carlo, Monaco"
358,1989,4,Mexican Grand Prix,1989-05-28,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
359,1989,5,United States Grand Prix,1989-06-04,Phoenix street circuit,"Phoenix, USA"
360,1989,6,Canadian Grand Prix,1989-06-18,Circuit Gilles Villeneuve,"Montreal, Canada"
361,1989,7,French Grand Prix,1989-07-09,Circuit Paul Ricard,"Le Castellet, France"
362,1989,8,British Grand Prix,1989-07-16,Silverstone Circuit,"Silverstone, UK"
363,1989,9,German Grand Prix,1989-07-30,Hockenheimring,"Hockenheim, Germany"
364,1989,10,Hungarian Grand Prix,1989-08-13,Hungaroring,"Budapest, Hungary"
365,1989,11,Belgian Grand Prix,1989-08-27,Circuit de Spa-Francorchamps,"Spa, Belgium"
366,1989,12,Italian Grand Prix,1989-09-10,Autodromo Nazionale di Monza,"Monza, Italy"
367,1989,13,Portuguese Grand Prix,1989-09-24,Autódromo do Estoril,"Estoril, Portugal"
368,1989,14,Spanish Grand Prix,1989-10-01,Circuito de Jerez,"Jerez de la Frontera, Spain"
369,1989,15,Japanese Grand Prix,1989-10-22,Suzuka Circuit,"Suzuka, Japan"
370,1989,16,Australian Grand Prix,1989-11-05,Adelaide Street Circuit,"Adelaide, Australia"
371,1988,1,Brazilian Grand Prix,1988-04-03,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
372,1988,2,San Marino Grand Prix,1988-05-01,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
373,1988,3,Monaco Grand Prix,1988-05-15,Circuit de Monaco,"Monte-Carlo, Monaco"
374,1988,4,Mexican Grand Prix,1988-05-29,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
375,1988,5,Canadian Grand Prix,1988-06-12,Circuit Gilles Villeneuve,"Montreal, Canada"
376,1988,6,Detroit Grand Prix,1988-06-19,Detroit Street Circuit,"Detroit, USA"
377,1988,7,French Grand Prix,1988-07-03,Circuit Paul Ricard,"Le Castellet, France"
378,1988,8,British Grand Prix,1988-07-10,Silverstone Circuit,"Silverstone, UK"
379,1988,9,German Grand Prix,1988-07-24,Hockenheimring,"Hockenheim, Germany"
380,1988,10,Hungarian Grand Prix,1988-08-07,Hungaroring,"Budapest, Hungary"
381,1988,11,Belgian Grand Prix,1988-08-28,Circuit de Spa-Francorchamps,"Spa, Belgium"
382,1988,12,Italian Grand Prix,1988-09-11,Autodromo Nazionale di Monza,"Monza, Italy"
383,1988,13,Portuguese Grand Prix,1988-09-25,Autódromo do Estoril,"Estoril, Portugal"
384,1988,14,Spanish Grand Prix,1988-10-02,Circuito de Jerez,"Jerez de la Frontera, Spain"
385,1988,15,Japanese Grand Prix,1988-10-30,Suzuka Circuit,"Suzuka, Japan"
386,1988,16,Australian Grand Prix,1988-11-13,Adelaide Street Circuit,"Adelaide, Australia"
387,1987,1,Brazilian Grand Prix,1987-04-12,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
388,1987,2,San Marino Grand Prix,1987-05-03,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
389,1987,3,Belgian Grand Prix,1987-05-17,Circuit de Spa-Francorchamps,"Spa, Belgium"
390,1987,4,Monaco Grand Prix,1987-05-31,Circuit de Monaco,"Monte-Carlo, Monaco"
391,1987,5,Detroit Grand Prix,1987-06-21,Detroit Street Circuit,"Detroit, USA"
392,1987,6,French Grand Prix,1987-07-05,Circuit Paul Ricard,"Le Castellet, France"
393,1987,7,British Grand Prix,1987-07-12,Silverstone Circuit,"Silverstone, UK"
394,1987,8,German Grand Prix,1987-07-26,Hockenheimring,"Hockenheim, Germany"
395,1987,9,Hungarian Grand Prix,1987-08-09,Hungaroring,"Budapest, Hungary"
396,1987,10,Austrian Grand Prix,1987-08-16,Red Bull Ring,"Spielberg, Austria"
397,1987,11,Italian Grand Prix,1987-09-06,Autodromo Nazionale di Monza,"Monza, Italy"
398,1987,12,Portuguese Grand Prix,1987-09-20,Autódromo do Estoril,"Estoril, Portugal"
399,1987,13,Spanish Grand Prix,1987-09-27,Circuito de Jerez,"Jerez de la Frontera, Spain"
400,1987,14,Mexican Grand Prix,1987-10-18,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
401,1987,15,Japanese Grand Prix,1987-11-01,Suzuka Circuit,"Suzuka, Japan"
402,1987,16,Australian Grand Prix,1987-11-15,Adelaide Street Circuit,"Adelaide, Australia"
403,1986,1,Brazilian Grand Prix,1986-03-23,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
404,1986,2,Spanish Grand Prix,1986-04-13,Circuito de Jerez,"Jerez de la Frontera, Spain"
405,1986,3,San Marino Grand Prix,1986-04-27,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
406,1986,4,Monaco Grand Prix,1986-05-11,Circuit de Monaco,"Monte-Carlo, Monaco"
407,1986,5,Belgian Grand Prix,1986-05-25,Circuit de Spa-Francorchamps,"Spa, Belgium"
408,1986,6,Canadian Grand Prix,1986-06-15,Circuit Gilles Villeneuve,"Montreal, Canada"
409,1986,7,Detroit Grand Prix,1986-06-22,Detroit Street Circuit,"Detroit, USA"
410,1986,8,French Grand Prix,1986-07-06,Circuit Paul Ricard,"Le Castellet, France"
411,1986,9,British Grand Prix,1986-07-13,Brands Hatch,"Kent, UK"
412,1986,10,German Grand Prix,1986-07-27,Hockenheimring,"Hockenheim, Germany"
413,1986,11,Hungarian Grand Prix,1986-08-10,Hungaroring,"Budapest, Hungary"
414,1986,12,Austrian Grand Prix,1986-08-17,Red Bull Ring,"Spielberg, Austria"
415,1986,13,Italian Grand Prix,1986-09-07,Autodromo Nazionale di Monza,"Monza, Italy"
416,1986,14,Portuguese Grand Prix,1986-09-21,Autódromo do Estoril,"Estoril, Portugal"
417,1986,15,Mexican Grand Prix,1986-10-12,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
418,1986,16,Australian Grand Prix,1986-10-26,Adelaide Street Circuit,"Adelaide, Australia"
419,1985,1,Brazilian Grand Prix,1985-04-07,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
420,1985,2,Portuguese Grand Prix,1985-04-21,Autódromo do Estoril,"Estoril, Portugal"
421,1985,3,San Marino Grand Prix,1985-05-05,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
422,1985,4,Monaco Grand Prix,1985-05-19,Circuit de Monaco,"Monte-Carlo, Monaco"
423,1985,5,Canadian Grand Prix,1985-06-16,Circuit Gilles Villeneuve,"Montreal, Canada"
424,1985,6,Detroit Grand Prix,1985-06-23,Detroit Street Circuit,"Detroit, USA"
425,1985,7,French Grand Prix,1985-07-07,Circuit Paul Ricard,"Le Castellet, France"
426,1985,8,British Grand Prix,1985-07-21,Silverstone Circuit,"Silverstone, UK"
427,1985,9,German Grand Prix,1985-08-04,Nürburgring,"Nürburg, Germany"
428,1985,10,Austrian Grand Prix,1985-08-18,Red Bull Ring,"Spielberg, Austria"
429,1985,11,Dutch Grand Prix,1985-08-25,Circuit Park Zandvoort,"Zandvoort, Netherlands"
430,1985,12,Italian Grand Prix,1985-09-08,Autodromo Nazionale di Monza,"Monza, Italy"
431,1985,13,Belgian Grand Prix,1985-09-15,Circuit de Spa-Francorchamps,"Spa, Belgium"
432,1985,14,European Grand Prix,1985-10-06,Brands Hatch,"Kent, UK"
433,1985,15,South African Grand Prix,1985-10-19,Kyalami,"Midrand, South Africa"
434,1985,16,Australian Grand Prix,1985-11-03,Adelaide Street Circuit,"Adelaide, Australia"
435,1984,1,Brazilian Grand Prix,1984-03-25,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
436,1984,2,South African Grand Prix,1984-04-07,Kyalami,"Midrand, South Africa"
437,1984,3,Belgian Grand Prix,1984-04-29,Zolder,"Heusden-Zolder, Belgium"
438,1984,4,San Marino Grand Prix,1984-05-06,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
439,1984,5,French Grand Prix,1984-05-20,Dijon-Prenois,"Dijon, France"
440,1984,6,Monaco Grand Prix,1984-06-03,Circuit de Monaco,"Monte-Carlo, Monaco"
441,1984,7,Canadian Grand Prix,1984-06-17,Circuit Gilles Villeneuve,"Montreal, Canada"
442,1984,8,Detroit Grand Prix,1984-06-24,Detroit Street Circuit,"Detroit, USA"
443,1984,9,Dallas Grand Prix,1984-07-08,Fair Park,"Dallas, USA"
444,1984,10,British Grand Prix,1984-07-22,Brands Hatch,"Kent, UK"
445,1984,11,German Grand Prix,1984-08-05,Hockenheimring,"Hockenheim, Germany"
446,1984,12,Austrian Grand Prix,1984-08-19,Red Bull Ring,"Spielberg, Austria"
447,1984,13,Dutch Grand Prix,1984-08-26,Circuit Park Zandvoort,"Zandvoort, Netherlands"
448,1984,14,Italian Grand Prix,1984-09-09,Autodromo Nazionale di Monza,"Monza, Italy"
449,1984,15,European Grand Prix,1984-10-07,Nürburgring,"Nürburg, Germany"
450,1984,16,Portuguese Grand Prix,1984-10-21,Autódromo do Estoril,"Estoril, Portugal"
451,1983,1,Brazilian Grand Prix,1983-03-13,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
452,1983,2,United States Grand Prix West,1983-03-27,Long Beach,"California, USA"
453,1983,3,French Grand Prix,1983-04-17,Circuit Paul Ricard,"Le Castellet, France"
454,1983,4,San Marino Grand Prix,1983-05-01,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
455,1983,5,Monaco Grand Prix,1983-05-15,Circuit de Monaco,"Monte-Carlo, Monaco"
456,1983,6,Belgian Grand Prix,1983-05-22,Circuit de Spa-Francorchamps,"Spa, Belgium"
457,1983,7,Detroit Grand Prix,1983-06-05,Detroit Street Circuit,"Detroit, USA"
458,1983,8,Canadian Grand Prix,1983-06-12,Circuit Gilles Villeneuve,"Montreal, Canada"
459,1983,9,British Grand Prix,1983-07-16,Silverstone Circuit,"Silverstone, UK"
460,1983,10,German Grand Prix,1983-08-07,Hockenheimring,"Hockenheim, Germany"
461,1983,11,Austrian Grand Prix,1983-08-14,Red Bull Ring,"Spielberg, Austria"
462,1983,12,Dutch Grand Prix,1983-08-28,Circuit Park Zandvoort,"Zandvoort, Netherlands"
463,1983,13,Italian Grand Prix,1983-09-11,Autodromo Nazionale di Monza,"Monza, Italy"
464,1983,14,European Grand Prix,1983-09-25,Brands Hatch,"Kent, UK"
465,1983,15,South African Grand Prix,1983-10-15,Kyalami,"Midrand, South Africa"
466,1982,1,South African Grand Prix,1982-01-23,Kyalami,"Midrand, South Africa"
467,1982,2,Brazilian Grand Prix,1982-03-21,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
468,1982,3,United States Grand Prix West,1982-04-04,Long Beach,"California, USA"
469,1982,4,San Marino Grand Prix,1982-04-25,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
470,1982,5,Belgian Grand Prix,1982-05-09,Zolder,"Heusden-Zolder, Belgium"
471,1982,6,Monaco Grand Prix,1982-05-23,Circuit de Monaco,"Monte-Carlo, Monaco"
472,1982,7,Detroit Grand Prix,1982-06-06,Detroit Street Circuit,"Detroit, USA"
473,1982,8,Canadian Grand Prix,1982-06-13,Circuit Gilles Villeneuve,"Montreal, Canada"
474,1982,9,Dutch Grand Prix,1982-07-03,Circuit Park Zandvoort,"Zandvoort, Netherlands"
475,1982,10,British Grand Prix,1982-07-18,Brands Hatch,"Kent, UK"
476,1982,11,French Grand Prix,1982-07-25,Circuit Paul Ricard,"Le Castellet, France"
477,1982,12,German Grand Prix,1982-08-08,Hockenheimring,"Hockenheim, Germany"
478,1982,13,Austrian Grand Prix,1982-08-15,Red Bull Ring,"Spielberg, Austria"
479,1982,14,Swiss Grand Prix,1982-08-29,Dijon-Prenois,"Dijon, France"
480,1982,15,Italian Grand Prix,1982-09-12,Autodromo Nazionale di Monza,"Monza, Italy"
481,1982,16,Caesars Palace Grand Prix,1982-09-25,Las Vegas Street Circuit,"Nevada, USA"
482,1981,1,United States Grand Prix West,1981-03-15,Long Beach,"California, USA"
483,1981,2,Brazilian Grand Prix,1981-03-29,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
484,1981,3,Argentine Grand Prix,1981-04-12,Autódromo Juan y Oscar Gálvez,"Buenos Aires, Argentina"
485,1981,4,San Marino Grand Prix,1981-05-03,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
486,1981,5,Belgian Grand Prix,1981-05-17,Zolder,"Heusden-Zolder, Belgium"
487,1981,6,Monaco Grand Prix,1981-05-31,Circuit de Monaco,"Monte-Carlo, Monaco"
488,1981,7,Spanish Grand Prix,1981-06-21,Jarama,"Madrid, Spain"
489,1981,8,French Grand Prix,1981-07-05,Dijon-Prenois,"Dijon, France"
490,1981,9,British Grand Prix,1981-07-18,Silverstone Circuit,"Silverstone, UK"
491,1981,10,German Grand Prix,1981-08-02,Hockenheimring,"Hockenheim, Germany"
492,1981,11,Austrian Grand Prix,1981-08-16,Red Bull Ring,"Spielberg, Austria"
493,1981,12,Dutch Grand Prix,1981-08-30,Circuit Park Zandvoort,"Zandvoort, Netherlands"
494,1981,13,Italian Grand Prix,1981-09-13,Autodromo Nazionale di Monza,"Monza, Italy"
495,1981,14,Canadian Grand Prix,1981-09-27,Circuit Gilles Villeneuve,"Montreal, Canada"
496,1981,15,Caesars Palace Grand Prix,1981-10-17,Las Vegas Street Circuit,"Nevada, USA"
497,1980,1,Argentine Grand Prix,1980-01-13,Autódromo Juan y Oscar Gálvez,"Buenos Aires, Argentina"
498,1980,2,Brazilian Grand Prix,1980-01-27,Autódromo José Carlos Pace,"São Paulo, Brazil"
499,1980,3,South African Grand Prix,1980-03-01,Kyalami,"Midrand, South Africa"
500,1980,4,United States Grand Prix West,1980-03-30,Long Beach,"California, USA"
501,1980,5,Belgian Grand Prix,1980-05-04,Zolder,"Heusden-Zolder, Belgium"
502,1980,6,Monaco Grand Prix,1980-05-18,Circuit de Monaco,"Monte-Carlo, Monaco"
503,1980,7,French Grand Prix,1980-06-29,Circuit Paul Ricard,"Le Castellet, France"
504,1980,8,British Grand Prix,1980-07-13,Brands Hatch,"Kent, UK"
505,1980,9,German Grand Prix,1980-08-10,Hockenheimring,"Hockenheim, Germany"
506,1980,10,Austrian Grand Prix,1980-08-17,Red Bull Ring,"Spielberg, Austria"
507,1980,11,Dutch Grand Prix,1980-08-31,Circuit Park Zandvoort,"Zandvoort, Netherlands"
508,1980,12,Italian Grand Prix,1980-09-14,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
509,1980,13,Canadian Grand Prix,1980-09-28,Circuit Gilles Villeneuve,"Montreal, Canada"
510,1980,14,United States Grand Prix,1980-10-05,Watkins Glen,"New York State, USA"
511,1979,1,Argentine Grand Prix,1979-01-21,Autódromo Juan y Oscar Gálvez,"Buenos Aires, Argentina"
512,1979,2,Brazilian Grand Prix,1979-02-04,Autódromo José Carlos Pace,"São Paulo, Brazil"
513,1979,3,South African Grand Prix,1979-03-03,Kyalami,"Midrand, South Africa"
514,1979,4,United States Grand Prix West,1979-04-08,Long Beach,"California, USA"
515,1979,5,Spanish Grand Prix,1979-04-29,Jarama,"Madrid, Spain"
516,1979,6,Belgian Grand Prix,1979-05-13,Zolder,"Heusden-Zolder, Belgium"
517,1979,7,Monaco Grand Prix,1979-05-27,Circuit de Monaco,"Monte-Carlo, Monaco"
518,1979,8,French Grand Prix,1979-07-01,Dijon-Prenois,"Dijon, France"
519,1979,9,British Grand Prix,1979-07-14,Silverstone Circuit,"Silverstone, UK"
520,1979,10,German Grand Prix,1979-07-29,Hockenheimring,"Hockenheim, Germany"
521,1979,11,Austrian Grand Prix,1979-08-12,Red Bull Ring,"Spielberg, Austria"
522,1979,12,Dutch Grand Prix,1979-08-26,Circuit Park Zandvoort,"Zandvoort, Netherlands"
523,1979,13,Italian Grand Prix,1979-09-09,Autodromo Nazionale di Monza,"Monza, Italy"
524,1979,14,Canadian Grand Prix,1979-09-30,Circuit Gilles Villeneuve,"Montreal, Canada"
525,1979,15,United States Grand Prix,1979-10-07,Watkins Glen,"New York State, USA"
526,1978,1,Argentine Grand Prix,1978-01-15,Autódromo Juan y Oscar Gálvez,"Buenos Aires, Argentina"
527,1978,2,Brazilian Grand Prix,1978-01-29,Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil"
528,1978,3,South African Grand Prix,1978-03-04,Kyalami,"Midrand, South Africa"
529,1978,4,United States Grand Prix West,1978-04-02,Long Beach,"California, USA"
530,1978,5,Monaco Grand Prix,1978-05-07,Circuit de Monaco,"Monte-Carlo, Monaco"
531,1978,6,Belgian Grand Prix,1978-05-21,Zolder,"Heusden-Zolder, Belgium"
532,1978,7,Spanish Grand Prix,1978-06-04,Jarama,"Madrid, Spain"
533,1978,8,Swedish Grand Prix,1978-06-17,Scandinavian Raceway,"Anderstorp, Sweden"
534,1978,9,French Grand Prix,1978-07-02,Circuit Paul Ricard,"Le Castellet, France"
535,1978,10,British Grand Prix,1978-07-16,Brands Hatch,"Kent, UK"
536,1978,11,German Grand Prix,1978-07-30,Hockenheimring,"Hockenheim, Germany"
537,1978,12,Austrian Grand Prix,1978-08-13,Red Bull Ring,"Spielberg, Austria"
538,1978,13,Dutch Grand Prix,1978-08-27,Circuit Park Zandvoort,"Zandvoort, Netherlands"
539,1978,14,Italian Grand Prix,1978-09-10,Autodromo Nazionale di Monza,"Monza, Italy"
540,1978,15,United States Grand Prix,1978-10-01,Watkins Glen,"New York State, USA"
541,1978,16,Canadian Grand Prix,1978-10-08,Circuit Gilles Villeneuve,"Montreal, Canada"
542,1977,1,Argentine Grand Prix,1977-01-09,Autódromo Juan y Oscar Gálvez,"Buenos Aires, Argentina"
543,1977,2,Brazilian Grand Prix,1977-01-23,Autódromo José Carlos Pace,"São Paulo, Brazil"
544,1977,3,South African Grand Prix,1977-03-05,Kyalami,"Midrand, South Africa"
545,1977,4,United States Grand Prix West,1977-04-03,Long Beach,"California, USA"
546,1977,5,Spanish Grand Prix,1977-05-08,Jarama,"Madrid, Spain"
547,1977,6,Monaco Grand Prix,1977-05-22,Circuit de Monaco,"Monte-Carlo, Monaco"
548,1977,7,Belgian Grand Prix,1977-06-05,Zolder,"Heusden-Zolder, Belgium"
549,1977,8,Swedish Grand Prix,1977-06-19,Scandinavian Raceway,"Anderstorp, Sweden"
550,1977,9,French Grand Prix,1977-07-03,Dijon-Prenois,"Dijon, France"
551,1977,10,British Grand Prix,1977-07-16,Silverstone Circuit,"Silverstone, UK"
552,1977,11,German Grand Prix,1977-07-31,Hockenheimring,"Hockenheim, Germany"
553,1977,12,Austrian Grand Prix,1977-08-14,Red Bull Ring,"Spielberg, Austria"
554,1977,13,Dutch Grand Prix,1977-08-28,Circuit Park Zandvoort,"Zandvoort, Netherlands"
555,1977,14,Italian Grand Prix,1977-09-11,Autodromo Nazionale di Monza,"Monza, Italy"
556,1977,15,United States Grand Prix,1977-10-02,Watkins Glen,"New York State, USA"
557,1977,16,Canadian Grand Prix,1977-10-09,Mosport International Raceway,"Ontario, Canada"
558,1977,17,Japanese Grand Prix,1977-10-23,Fuji Speedway,"Oyama, Japan"
559,1976,1,Brazilian Grand Prix,1976-01-25,Autódromo José Carlos Pace,"São Paulo, Brazil"
560,1976,2,South African Grand Prix,1976-03-06,Kyalami,"Midrand, South Africa"
561,1976,3,United States Grand Prix West,1976-03-28,Long Beach,"California, USA"
562,1976,4,Spanish Grand Prix,1976-05-02,Jarama,"Madrid, Spain"
563,1976,5,Belgian Grand Prix,1976-05-16,Zolder,"Heusden-Zolder, Belgium"
564,1976,6,Monaco Grand Prix,1976-05-30,Circuit de Monaco,"Monte-Carlo, Monaco"
565,1976,7,Swedish Grand Prix,1976-06-13,Scandinavian Raceway,"Anderstorp, Sweden"
566,1976,8,French Grand Prix,1976-07-04,Circuit Paul Ricard,"Le Castellet, France"
567,1976,9,British Grand Prix,1976-07-18,Brands Hatch,"Kent, UK"
568,1976,10,German Grand Prix,1976-08-01,Nürburgring,"Nürburg, Germany"
569,1976,11,Austrian Grand Prix,1976-08-15,Red Bull Ring,"Spielberg, Austria"
570,1976,12,Dutch Grand Prix,1976-08-29,Circuit Park Zandvoort,"Zandvoort, Netherlands"
571,1976,13,Italian Grand Prix,1976-09-12,Autodromo Nazionale di Monza,"Monza, Italy"
